PersonalLoan,Age,CCAvg,Education,Experience,Family,Income,Mortgage,CDAccount,CreditCard,Online,SecuritiesAccount
0,38,0,1,14,2,74,0,0,0,1,1
0,41,0.5,3,16,3,70,0,0,1,0,0
0,28,1.5,1,4,3,81,276,0,0,1,0
1,58,7.2,2,34,4,149,0,1,1,1,0
0,31,1.75,3,1,2,51,0,0,0,0,0
0,30,1.1,2,4,3,39,0,0,0,1,0
0,53,1.8,2,29,3,98,0,0,0,0,0
0,58,2.1,1,33,4,45,0,0,1,1,0
0,59,2.5,2,32,4,49,0,0,0,1,0
0,49,0.4,1,25,2,128,0,0,0,0,0
0,59,1.5,1,34,3,42,0,1,1,0,1
0,59,1.2,3,35,1,18,0,0,0,1,0
0,51,0.4,3,25,2,31,161,0,1,1,0
0,35,2,1,11,3,58,149,0,1,1,0
0,33,2.1,3,9,1,48,0,0,1,0,0
0,25,1.6,1,1,4,54,0,0,1,1,0
0,49,1.5,2,23,2,70,0,0,0,0,0
0,59,7.4,1,35,1,124,0,0,1,0,0
0,46,2.67,2,19,1,84,0,0,1,1,0
0,50,3.6,3,25,4,83,188,0,0,1,0
0,52,0.4,1,28,2,163,116,0,0,1,0
0,48,2.2,2,22,3,42,0,0,0,0,0
0,46,7.5,1,22,2,118,0,1,1,1,0
1,26,6.5,3,0,3,132,0,0,1,0,0
0,57,1.3,1,32,1,24,0,0,1,1,0
0,60,1,1,36,2,22,0,1,1,1,1
0,54,1.3,3,29,4,58,0,0,0,0,0
0,24,1.6,1,0,4,60,0,0,0,1,0
0,26,0.4,1,0,4,15,0,0,1,0,0
0,41,2.67,1,17,4,83,0,0,1,1,0
0,32,1.5,3,6,2,79,0,0,1,1,0
0,61,1.7,2,35,4,41,0,0,0,1,1
1,29,6.5,3,0,4,134,0,0,0,0,0
0,61,2.8,1,35,2,80,0,0,0,1,0
0,38,2,1,12,1,52,0,0,0,0,0
0,28,2.6,1,4,4,70,0,0,0,1,0
0,53,1.1,1,27,2,92,0,0,0,0,1
0,27,1.5,1,1,1,43,0,0,0,1,0
0,25,1,2,1,3,21,0,0,0,0,0
0,33,0.9,3,9,3,23,0,0,1,1,0
0,50,1,1,26,4,13,0,0,0,1,0
0,27,2.1,3,1,4,112,0,0,1,0,0
0,27,2,1,1,2,138,0,0,0,1,0
0,52,0.4,1,28,3,11,0,0,0,0,1
0,38,7.8,1,13,2,171,0,0,0,1,0
0,58,1.5,1,34,4,42,0,0,1,1,0
1,42,7.9,2,17,2,168,0,0,0,1,0
0,45,1.1,2,20,4,85,0,0,0,1,1
0,52,1,2,25,3,44,135,0,0,1,0
0,29,1.8,2,3,4,65,244,0,0,0,0
0,53,0.2,1,29,4,24,0,0,1,1,0
0,62,0.1,1,37,1,11,0,0,0,1,0
0,51,1,3,27,2,38,164,0,0,1,0
0,36,0.7,2,12,4,10,81,0,0,0,0
0,24,1.5,1,0,1,135,0,0,0,1,0
1,29,4.1,1,3,3,148,0,0,0,1,0
0,52,1.5,2,26,2,63,0,0,0,1,1
0,39,1,3,14,1,115,0,0,0,1,0
0,48,0.3,1,23,1,45,0,0,1,1,0
1,46,1.9,3,21,3,159,315,0,0,1,0
0,64,2.1,1,40,2,169,122,0,0,1,0
0,55,1.4,1,29,2,112,0,0,0,1,0
0,60,4.3,1,36,1,93,0,0,0,1,0
0,51,0.3,3,25,1,29,140,0,0,0,0
0,50,2.67,2,23,1,85,0,0,0,1,0
0,48,0.6,1,24,4,21,0,0,1,1,0
0,53,6.8,1,29,2,144,0,0,0,1,0
0,34,1,1,10,4,13,95,0,0,1,1
0,48,5,1,24,1,165,0,0,1,0,0
0,55,0.7,1,31,4,9,89,0,0,1,0
0,27,0,1,3,4,59,90,0,0,1,1
1,36,5.1,3,11,1,158,0,1,1,1,0
0,32,1.9,3,6,1,29,0,0,1,1,0
0,35,1.4,3,9,2,20,0,0,1,1,0
0,30,2,2,3,4,68,0,0,0,1,0
0,58,2.2,1,34,4,65,0,0,0,1,0
0,56,1.9,2,31,2,61,105,0,0,0,0
0,38,1.4,2,12,4,91,100,0,1,0,0
0,49,1,1,25,1,31,0,0,0,1,1
0,34,0.1,2,10,4,71,0,0,0,0,0
0,40,2.67,1,16,4,73,0,0,1,1,0
1,64,3.1,1,39,4,172,282,1,1,1,0
0,51,0,1,26,2,20,0,0,0,0,0
0,44,0.2,1,18,1,55,0,0,0,0,0
0,46,1.7,1,22,2,69,209,0,0,0,0
0,57,7.4,1,33,1,155,0,0,0,1,0
0,54,1.9,2,28,1,94,0,0,0,0,0
0,38,0,1,14,2,92,249,0,1,1,0
0,27,0.6,1,3,2,125,0,0,0,0,0
0,39,3,1,14,3,74,0,0,0,0,0
0,44,0.3,3,20,3,72,0,0,0,1,0
0,56,2.2,3,30,1,61,0,0,1,1,0
0,32,0.3,1,6,2,25,0,0,1,0,0
0,45,1.7,2,19,2,83,0,0,0,1,0
0,26,2.5,1,2,3,104,0,0,0,0,0
0,55,1,3,25,3,41,0,0,0,1,0
0,52,1.8,3,27,4,58,91,0,0,0,0
0,39,1.5,3,13,1,93,0,0,1,0,0
0,24,1.7,2,-1,2,39,0,0,0,0,0
0,47,7.5,1,23,2,148,0,1,1,1,0
0,47,1.9,3,22,4,53,98,1,1,0,1
0,48,1.7,1,24,2,71,145,0,1,0,0
0,47,2.8,2,22,1,92,0,0,0,1,0
0,35,2.1,3,10,4,61,0,0,0,1,0
0,46,2.5,2,19,3,38,135,0,0,0,0
0,62,1.7,1,37,4,58,0,0,0,1,0
0,26,0.8,2,1,1,80,150,0,0,0,0
0,38,1.8,3,8,4,71,0,0,0,1,0
0,43,0.5,3,18,3,89,0,0,1,1,0
0,62,1.8,3,38,1,83,0,0,0,1,0
0,57,0.2,1,32,3,28,0,0,1,1,0
0,28,1.7,2,3,4,52,0,0,0,0,0
0,51,1.2,1,26,1,70,169,0,0,0,0
0,48,1.4,3,22,1,71,0,0,1,0,0
0,41,3.7,3,16,1,75,280,0,0,0,0
1,65,7.9,3,39,3,170,99,1,0,1,0
0,41,0.8,1,17,4,78,78,0,0,1,0
0,35,1,2,11,2,25,0,0,0,0,0
0,38,0.6,3,14,2,60,0,0,1,1,0
1,53,2.7,2,29,4,120,111,1,0,1,1
0,55,1.4,1,29,2,99,264,0,1,1,0
0,26,2.6,3,1,3,55,113,0,1,0,0
0,30,1,2,6,3,29,117,0,0,0,0
1,54,6.2,2,28,2,170,325,0,0,1,0
0,65,2.2,1,40,3,53,0,0,1,0,0
0,47,0,1,21,1,138,0,0,0,0,0
1,65,3.9,3,41,3,134,121,0,0,1,0
0,66,0.7,3,40,2,42,138,0,1,0,0
0,26,2.3,3,0,4,99,0,0,1,0,0
0,66,0.5,1,41,3,18,0,0,1,0,0
0,35,0.3,1,9,4,24,0,0,0,1,0
0,56,1.4,1,30,1,55,77,0,0,1,0
0,51,0,1,27,1,58,0,0,1,0,0
1,42,1.2,3,16,2,111,251,0,0,1,0
0,49,0.3,3,23,1,33,0,1,1,1,0
0,27,1.8,2,1,4,74,112,0,1,1,0
0,45,0.7,1,19,2,38,0,0,0,0,0
0,49,0.6,3,23,4,23,98,0,0,0,1
0,63,1.5,1,38,2,61,0,0,0,1,0
0,47,2.9,1,22,1,81,138,0,0,0,0
0,64,2.5,1,39,1,129,0,0,0,1,0
0,43,0.75,3,13,1,33,0,0,0,0,0
0,60,2.2,1,36,4,63,0,0,0,1,0
0,40,1.4,2,14,4,70,0,0,0,1,0
0,29,0.2,1,3,4,45,158,0,1,1,0
0,41,0.5,3,16,3,65,0,0,0,1,0
0,30,2.2,1,5,4,74,0,0,1,0,1
0,49,1.8,3,24,4,50,0,0,0,0,1
0,30,0.5,3,5,4,22,109,0,0,1,0
0,29,1,3,2,4,30,0,0,0,0,0
0,50,1,1,26,4,21,0,0,0,1,0
0,39,3.9,1,14,2,155,0,0,0,1,0
0,33,2.1,3,8,4,64,164,0,0,1,0
0,57,2.6,3,31,4,65,0,0,1,0,0
0,34,0.7,3,9,4,71,0,0,0,1,0
0,61,0.5,2,36,3,40,0,0,0,1,1
0,44,0.5,3,19,3,69,0,0,0,1,0
0,40,2.33,2,13,3,69,0,0,0,0,0
0,51,0.6,2,25,3,45,131,0,0,1,0
0,37,0.7,2,12,3,62,0,0,1,0,0
1,44,4.3,3,19,2,172,391,1,0,1,1
0,42,1,2,15,3,24,0,0,1,1,0
0,51,4.9,1,25,1,80,0,0,0,0,0
0,43,0.67,2,16,3,8,88,0,0,1,0
0,30,0.8,1,5,4,38,129,0,1,1,0
0,45,2.6,3,19,4,93,0,0,0,0,0
0,35,2,1,9,1,55,0,0,0,1,0
0,60,1.7,3,34,2,64,0,0,1,0,0
0,34,0,1,9,1,122,0,0,0,1,0
0,55,1.4,3,25,3,70,0,0,0,1,0
0,43,3.2,1,19,2,81,0,0,0,0,0
1,41,5.5,3,15,1,159,0,1,0,1,0
0,34,1.3,1,9,4,70,0,0,0,0,1
0,65,6.9,1,39,2,150,196,0,0,0,0
0,45,7.5,1,21,2,152,0,0,0,1,0
1,49,3,1,25,4,195,617,0,0,0,0
0,48,0.1,1,23,1,22,0,0,0,0,0
0,60,1.3,1,35,1,22,123,0,0,1,0
0,55,0.8,1,29,3,79,0,0,1,1,0
0,42,1.4,3,18,1,33,0,0,0,1,0
0,32,4.33,1,8,2,128,0,1,1,1,0
0,62,3.8,1,38,1,91,0,0,0,1,1
0,57,0.9,1,32,4,39,0,0,1,1,0
0,52,7.3,1,26,1,121,167,0,0,1,0
0,36,0.67,3,6,1,21,0,0,0,1,1
0,34,2.3,1,9,3,41,0,0,1,0,0
0,63,0.7,3,37,2,45,0,0,0,1,0
0,24,0.3,3,-2,3,51,0,0,0,1,0
1,57,1.6,2,31,1,165,0,0,0,1,0
1,40,4.2,2,16,2,119,0,0,0,1,0
0,27,1.8,3,2,4,110,190,0,0,1,0
0,65,0.7,2,39,3,20,0,0,1,0,0
0,60,0.8,2,34,1,64,248,0,0,0,0
1,44,4.4,2,20,3,101,82,0,0,0,0
1,63,3.9,1,39,1,101,0,1,0,1,1
1,59,4.4,1,34,1,99,0,0,0,0,0
1,56,6.1,1,30,4,158,0,0,0,0,0
0,54,1.9,2,28,1,89,0,0,1,1,0
0,52,1.3,3,27,1,80,0,1,1,1,0
0,58,2,1,32,2,114,402,0,0,1,0
0,60,0.5,2,35,3,49,0,0,1,1,0
0,28,6.33,1,4,1,191,0,0,0,1,0
0,54,1,2,30,4,78,0,0,0,1,0
0,32,1,1,6,3,28,0,0,0,0,0
0,59,0.8,2,33,1,42,0,0,0,1,0
0,63,2.5,1,38,1,140,0,0,0,0,0
0,48,1.3,2,23,1,45,0,0,0,1,0
0,56,0.3,1,32,2,122,360,1,1,1,0
0,36,2.6,2,12,3,65,0,0,0,1,0
0,57,1.4,3,27,1,68,0,0,0,1,0
0,29,2,1,3,2,153,392,0,0,0,0
0,39,1.4,2,13,4,89,0,0,0,0,0
0,59,2.6,1,34,1,91,0,0,1,1,0
0,31,2,2,6,4,55,185,0,0,1,0
0,43,3.3,1,19,2,118,0,0,1,0,0
0,35,0.67,3,5,1,22,103,0,0,0,0
0,54,1.4,3,24,3,63,138,0,1,1,0
0,51,0.5,2,27,4,12,78,0,0,1,1
0,44,2.7,2,19,3,50,0,0,0,1,0
0,25,1.6,3,0,2,43,0,1,1,1,1
1,40,6.6,1,15,4,173,0,1,1,1,0
1,26,3,1,2,2,60,132,0,0,0,0
0,39,1,3,14,1,113,0,0,0,1,1
1,28,5.3,2,4,4,155,0,0,0,1,0
0,52,1,2,28,4,91,0,0,1,0,0
0,53,1.1,2,29,4,55,0,0,0,1,0
0,44,1.4,1,20,2,173,419,0,0,1,0
0,43,0.3,3,19,3,71,0,0,1,0,0
0,56,0.4,3,30,2,24,88,0,0,0,0
0,38,2,2,14,1,42,81,0,0,1,0
0,30,4.33,1,6,2,141,0,0,0,1,0
0,32,1.9,3,6,1,32,0,0,0,1,0
0,35,1.3,1,10,4,55,0,0,0,0,0
0,43,7.5,1,19,2,153,0,0,0,1,0
0,58,1.4,1,32,2,113,270,0,1,0,0
0,25,1.7,2,0,2,30,0,0,0,0,0
0,54,1,3,24,3,29,148,0,1,0,0
1,57,6.8,2,32,1,174,466,0,0,1,0
0,50,0.3,3,24,1,35,0,0,0,1,0
0,32,2,2,8,2,98,175,0,0,1,0
0,63,1,3,37,2,30,159,0,0,1,0
0,31,2.5,1,6,2,58,0,0,1,0,0
0,36,1,1,12,4,25,147,0,0,0,0
0,58,0.7,1,34,4,19,0,0,0,0,0
0,56,0.7,2,30,4,44,174,0,0,1,0
0,49,1,1,25,4,20,111,0,1,1,0
0,30,3.1,1,5,2,98,220,0,0,1,0
0,33,1.6,1,7,3,90,0,0,0,1,0
0,45,0.7,1,21,3,61,0,0,0,0,0
0,30,2,2,5,4,40,0,0,0,1,0
0,47,2.1,3,23,2,38,0,0,0,0,0
0,25,1.7,2,0,2,28,0,0,0,0,0
0,63,1.5,3,33,1,34,0,0,1,1,0
0,55,2.3,3,29,2,73,0,0,1,1,0
1,65,2,1,41,4,133,0,0,1,0,0
0,44,0.2,1,18,1,53,0,0,0,1,0
0,51,0.6,3,25,4,21,0,0,1,1,0
0,35,0.9,1,9,3,40,0,0,0,1,0
0,30,1.7,2,5,4,41,0,0,0,1,0
0,31,1.8,2,5,4,82,0,0,0,1,0
1,54,3.4,3,30,4,100,0,0,0,0,0
0,45,7,1,20,1,155,0,0,1,1,0
0,45,0.2,1,19,1,45,0,0,0,1,0
0,58,0.3,3,32,3,9,0,0,1,0,0
0,54,1.8,3,29,4,48,0,0,0,1,0
0,53,0.1,3,28,4,18,109,1,1,1,1
0,33,3.4,1,9,4,80,0,0,1,1,0
0,60,2.8,1,35,2,64,0,0,0,0,0
0,50,0.1,1,24,4,29,0,0,0,0,0
0,26,0.7,2,2,3,48,0,0,0,1,0
0,54,0.4,1,30,2,23,0,0,0,0,0
0,28,0.2,1,3,4,84,0,0,1,1,0
1,36,6.6,1,10,3,179,0,0,0,1,0
0,29,1.5,2,2,4,30,112,0,1,0,0
0,54,4.9,1,28,1,93,133,1,1,1,0
0,55,1.9,2,30,2,39,0,0,0,0,0
0,61,0.5,2,36,3,60,182,0,0,0,0
0,36,3.8,1,11,1,133,290,1,1,1,1
0,45,2.4,1,19,1,125,0,0,0,0,0
0,64,1.8,3,40,1,58,0,0,0,1,0
0,60,2.8,1,36,2,89,0,0,0,1,0
0,49,2.67,2,22,1,82,125,0,0,1,0
0,47,3.3,1,23,2,110,0,0,1,1,0
0,60,2.3,3,36,4,54,0,0,0,0,1
0,45,1.9,3,20,4,89,0,0,0,1,0
0,32,2.3,1,7,3,42,0,0,0,1,0
0,52,1.9,2,28,3,41,0,0,1,0,0
0,35,1,2,8,4,38,124,0,0,1,0
0,40,0.4,1,15,2,85,0,0,0,1,0
0,53,1,2,29,4,83,0,0,0,1,0
0,27,1,3,0,4,33,0,0,0,0,0
0,58,2.1,1,33,4,50,0,0,1,0,0
0,47,3.6,3,22,4,58,0,0,1,1,0
1,28,3.1,2,3,4,115,0,0,0,0,0
0,46,6.3,1,20,2,145,0,1,0,1,1
0,43,7.5,1,19,2,161,0,0,0,0,0
0,56,0.2,1,30,1,38,0,0,0,0,0
0,28,0.8,1,3,4,28,0,0,0,1,0
0,42,2.33,1,18,3,75,0,0,1,0,0
0,32,1.3,1,7,3,35,116,0,1,0,0
0,62,1,1,38,2,24,116,0,1,0,0
0,37,0.1,2,13,4,78,0,0,0,1,0
0,51,1.3,3,26,1,113,161,0,0,1,0
0,39,2.1,1,13,3,75,224,0,0,1,0
0,43,5.7,1,17,1,91,0,0,0,1,0
0,52,0.2,1,28,4,31,141,0,1,1,0
0,30,1.8,2,6,1,45,0,0,0,1,0
0,52,0.8,1,26,3,80,0,0,0,0,0
0,61,1.4,3,35,3,50,112,0,0,1,0
0,36,1,2,9,4,31,0,0,0,1,1
1,58,3.8,2,32,2,113,119,1,1,1,0
0,47,0.6,1,23,4,29,0,0,0,1,0
0,64,1.5,1,39,2,59,139,0,0,1,0
0,52,1.3,2,27,1,43,0,0,0,1,1
1,58,3,3,28,1,122,115,0,0,1,0
0,48,1,1,24,1,29,0,0,0,0,0
0,64,0,3,40,2,91,0,0,1,1,0
0,58,2.2,3,32,3,65,0,0,0,1,0
0,47,1,1,23,1,22,0,0,1,0,0
0,49,1.4,3,23,1,71,0,0,0,0,0
0,31,2,2,4,4,60,0,0,1,1,0
0,61,2,3,37,3,60,0,0,0,1,0
0,51,0.3,1,25,1,69,0,0,1,1,0
0,28,1.75,3,-2,2,48,89,0,0,1,0
0,39,0.2,2,13,3,21,0,0,0,0,0
0,54,2.8,2,28,4,53,0,0,0,0,1
0,50,0.9,3,24,3,29,0,0,0,0,0
0,30,2.2,2,4,4,60,0,0,0,1,0
0,64,0.5,2,39,3,42,116,0,0,1,0
0,29,0.3,3,3,3,69,0,0,0,0,0
0,48,1,1,24,1,20,0,0,1,1,0
0,35,3,1,10,2,200,458,0,0,0,0
0,60,2.1,1,36,2,141,0,0,1,1,0
0,55,3.7,1,30,2,81,0,0,0,0,1
1,29,8.3,3,4,3,183,0,0,0,1,0
1,48,5.5,2,22,2,149,0,1,0,1,1
1,43,3.6,3,19,4,83,0,0,1,0,0
0,66,1.9,2,42,1,35,172,0,0,1,0
0,25,0.9,3,0,2,13,0,0,0,1,0
0,45,2.4,1,20,1,39,0,0,1,0,0
0,34,0.5,3,10,1,21,0,0,0,1,0
0,48,0.7,3,23,2,10,0,0,1,1,0
0,32,1.8,2,6,4,84,0,0,0,0,0
0,50,0.1,1,24,4,30,161,0,1,1,0
0,43,0.3,1,19,4,31,156,0,0,1,0
1,64,1.2,2,39,1,182,547,0,0,1,0
0,60,6.9,1,34,2,114,0,0,0,1,0
1,43,6.1,2,19,3,152,0,0,0,0,0
0,60,0.8,2,34,1,53,0,0,1,0,1
0,64,0.4,2,39,4,24,78,0,0,1,0
0,44,3.3,1,20,2,150,0,0,1,0,0
0,60,6,1,36,2,132,470,0,1,1,0
0,54,1.6,3,29,3,68,0,0,1,1,0
0,33,1.2,1,9,1,53,0,0,1,0,0
1,56,4.6,2,32,1,173,88,1,0,1,0
0,29,1,2,5,3,30,0,0,0,0,0
0,25,0.2,1,1,2,113,0,0,1,1,0
0,60,0.8,2,34,1,15,0,0,0,1,0
0,55,3.7,1,30,2,84,304,0,0,1,1
0,39,1.4,2,13,4,88,0,0,1,1,0
0,37,2.8,1,13,3,43,0,0,0,1,0
0,53,2.1,3,28,2,43,0,1,1,1,0
0,34,2.7,1,10,2,90,0,0,0,1,0
0,42,0.3,1,18,4,34,104,0,0,1,1
0,60,1.3,1,36,4,38,0,0,0,1,0
0,50,1,1,24,1,173,0,0,1,1,0
0,41,8,1,17,2,160,0,0,0,1,0
0,25,0.6,2,0,4,44,0,0,1,1,0
0,50,0.4,3,24,2,83,0,0,0,1,0
0,48,2.6,3,22,4,94,0,0,0,1,0
0,32,2.1,3,8,1,43,0,0,1,0,0
0,50,1.7,2,25,3,42,0,0,0,1,0
0,59,0.3,1,33,2,34,0,0,0,0,0
0,50,1.9,2,26,3,39,0,0,0,1,0
0,44,0.1,2,19,1,70,0,0,0,0,0
0,31,1.8,3,5,4,39,185,0,1,0,0
0,40,2,3,10,3,44,0,0,0,1,0
1,36,3.1,2,12,3,69,0,0,0,1,0
0,51,0.9,3,25,3,44,0,0,0,0,0
0,64,0.1,3,40,3,32,0,0,0,1,0
0,47,0.7,3,22,2,15,0,0,0,0,0
0,52,6.8,1,28,2,118,112,0,0,1,0
0,51,1.3,2,26,1,62,221,0,0,1,0
0,31,2.2,2,5,4,82,0,0,0,0,0
0,39,3,1,14,3,54,108,0,1,0,0
0,30,2.1,3,6,1,48,0,0,0,0,0
0,27,0.3,3,1,3,74,0,0,0,1,0
0,41,1,3,16,1,113,211,0,1,0,0
0,53,1.7,2,27,3,81,0,0,0,0,0
0,54,1,2,27,3,43,169,0,0,0,0
0,28,1.8,2,4,1,34,0,0,0,1,0
0,34,2.5,3,9,1,48,105,0,0,1,0
0,61,1.2,2,37,4,54,129,0,1,1,0
0,48,1.4,2,24,4,75,0,0,0,1,0
0,36,2.8,1,11,1,72,224,0,0,0,0
0,56,0.9,1,31,4,39,0,0,0,0,0
0,24,0.2,1,-1,4,75,0,0,0,1,0
0,64,2.8,1,38,2,79,179,0,0,0,0
0,26,6.33,1,2,1,205,271,0,1,0,0
0,33,0.1,1,8,2,65,89,0,0,1,0
1,64,0.2,1,39,4,122,378,0,0,1,0
0,39,0.8,2,15,1,82,0,0,0,1,0
0,54,0.2,1,30,2,21,0,0,1,0,0
0,32,2.1,3,6,4,50,0,1,1,1,1
0,62,2.8,1,37,2,39,113,1,1,1,0
0,27,1.9,1,2,1,101,0,0,0,0,0
0,53,0.6,3,28,2,41,0,0,0,0,1
0,51,0.3,1,25,1,132,0,0,0,1,0
0,25,2.4,2,-1,3,43,176,0,0,1,0
1,44,4.9,3,20,1,131,0,0,0,1,0
0,31,0.4,2,5,1,11,76,0,1,0,0
0,57,0.3,3,32,1,21,117,0,0,0,0
